"assembly"	"sample"	"design"	"raw total sequences"	"filtered sequences"	"sequences"	"is sorted"	"1st fragments"	"last fragments"	"reads mapped"	"reads mapped and paired"	"reads unmapped"	"reads properly paired"	"reads paired"	"reads duplicated"	"reads MQ0"	"reads QC failed"	"non-primary alignments"	"supplementary alignments"	"total length"	"total first fragment length"	"total last fragment length"	"bases mapped"	"bases mapped (cigar)"	"bases trimmed"	"bases duplicated"	"mismatches"	"error rate"	"average length"	"average first fragment length"	"average last fragment length"	"maximum length"	"maximum first fragment length"	"maximum last fragment length"	"average quality"	"insert size average"	"insert size standard deviation"	"inward oriented pairs"	"outward oriented pairs"	"pairs with other orientation"	"pairs on different chromosomes"	"percentage of properly paired reads (%)"
"hg38"	"HG00137"	"1kGP WGS
long-read"	11255770	0	11255770	1	11255770	0	10633890	0	621882	0	0	0	53393	0	3517740	2393500	83359440000	83359440000	0	80293550000	78605240000	0	0	6268189000	0.07974263	7406	7406	0	671061	671061	0	255	0	0	0	0	0	0	0
"hg38"	"HG00139"	"1kGP WGS
long-read"	7151654	0	7151654	1	7151654	0	6780607	0	371047	0	0	0	25982	0	1997678	839451	81092670000	81092670000	0	79475300000	78843560000	0	0	5462325000	0.06928054	11339	11339	0	1593261	1593261	0	255	0	0	0	0	0	0	0
"hg38"	"HG00141"	"1kGP WGS
long-read"	15886000	0	15886000	1	15886000	0	15144160	0	741833	0	0	0	62213	0	4774005	3251496	167095900000	167095900000	0	162510100000	159921400000	0	0	10918470000	0.06827396	10518	10518	0	787279	787279	0	255	0	0	0	0	0	0	0
"hg38"	"HG00146"	"1kGP WGS
long-read"	7838211	0	7838211	1	7838211	0	7404373	0	433838	0	0	0	30793	0	2260223	1445257	74655070000	74655070000	0	72058360000	70621360000	0	0	5275760000	0.07470488	9525	9525	0	734733	734733	0	255	0	0	0	0	0	0	0
"hg38"	"HG00148"	"1kGP WGS
long-read"	8089090	0	8089090	1	8089090	0	7415677	0	673413	0	0	0	36426	0	2312357	1032050	57578800000	57578800000	0	55035690000	54006530000	0	0	4904896000	0.09082044	7118	7118	0	663857	663857	0	255	0	0	0	0	0	0	0
"hg38"	"HG00149"	"1kGP WGS
long-read"	12098240	0	12098240	1	12098240	0	11327740	0	770498	0	0	0	38729	0	3701649	2086142	167836400000	167836400000	0	162001700000	159078600000	0	0	1.3195e+10	0.08294638	13873	13873	0	748042	748042	0	255	0	0	0	0	0	0	0
"hg38"	"HG00152"	"1kGP WGS
long-read"	11412310	0	11412310	1	11412310	0	10834030	0	578283	0	0	0	38984	0	3488578	2068186	150371500000	150371500000	0	146317300000	143981100000	0	0	9522811000	0.06613931	13176	13176	0	885434	885434	0	255	0	0	0	0	0	0	0
"hg38"	"HG00157"	"1kGP WGS
long-read"	2388878	0	2388878	1	2388878	0	2274440	0	114438	0	0	0	4913	0	724676	386166	44536200000	44536200000	0	43420770000	42615720000	0	0	3032732000	0.07116463	18643	18643	0	786354	786354	0	255	0	0	0	0	0	0	0
"hg38"	"HG00158"	"1kGP WGS
long-read"	2630834	0	2630834	1	2630834	0	2488215	0	142619	0	0	0	4512	0	736142	439246	58818780000	58818780000	0	57305700000	56206320000	0	0	3802957000	0.06766067	22357	22357	0	1040784	1040784	0	255	0	0	0	0	0	0	0
"hg38"	"HG00159"	"1kGP WGS
long-read"	2368495	0	2368495	1	2368495	0	2232347	0	136148	0	0	0	5379	0	729440	401358	47434270000	47434270000	0	45831300000	45049290000	0	0	4436584000	0.09848289	20027	20027	0	338933	338933	0	255	0	0	0	0	0	0	0
"hg38"	"HG00171"	"1kGP WGS
long-read"	14659190	0	14659190	1	14659190	0	13765030	0	894165	0	0	0	59633	0	4078347	2107523	115770500000	115770500000	0	112381100000	110817500000	0	0	8557164000	0.07721855	7897	7897	0	756537	756537	0	255	0	0	0	0	0	0	0
"hg38"	"HG00173"	"1kGP WGS
long-read"	8364263	0	8364263	1	8364263	0	7853704	0	510559	0	0	0	28705	0	2193634	905075	71094890000	71094890000	0	68962260000	68066130000	0	0	4719560000	0.06933787	8500	8500	0	455284	455284	0	255	0	0	0	0	0	0	0
"hg38"	"HG00188"	"1kGP WGS
long-read"	2691168	0	2691168	1	2691168	0	2551452	0	139716	0	0	0	6652	0	863218	436903	46212700000	46212700000	0	45100040000	44267090000	0	0	2870411000	0.06484301	17172	17172	0	936911	936911	0	255	0	0	0	0	0	0	0
